campania_id,cruce_id,tipo_dia,t_inicio_s,t_fin_s,flujo_veh_h
1,23,Laboral,79200,82799,130.703369967783
1,23,Laboral,82800,86399,85.073455371666
1,24,Laboral,21600,25199,140.040616330875
1,24,Laboral,25200,28799,454.836958049682
1,24,Laboral,28800,32399,596.213627326947
1,24,Laboral,32400,35999,406.360503644798
1,24,Laboral,36000,39599,375.731489848786
1,24,Laboral,39600,43199,472.450589392935
1,24,Laboral,43200,46799,422.214998608637
1,24,Laboral,46800,50399,426.08955215317
1,24,Laboral,50400,53999,351.593466617323
1,24,Laboral,54000,57599,403.888805693975
1,24,Laboral,57600,61199,457.998950022807
1,24,Laboral,61200,64799,532.216691194822
1,24,Laboral,64800,68399,577.442083430155
1,24,Laboral,68400,71999,456.729699723735
1,24,Laboral,72000,75599,384.850051207904
1,24,Laboral,75600,79199,341.695541039477
1,24,Laboral,79200,82799,269.103330952238
1,24,Laboral,82800,86399,175.156541271849
