itinerario_id,cruce_id,sentido,instante_paso_s,hcall_in_s,hcall_out_s
1,19,,32011,31942,32021
1,19,,32609,32540,32619
1,19,,33031,32962,33041
1,19,,33269,33200,33279
1,19,,33811,33742,33821
1,19,,33929,33860,33939
1,19,,34589,34520,34599
1,19,,35309,35240,35319
1,19,,35311,35242,35321
1,19,,36209,36140,36219
1,19,,36211,36142,36221
1,19,,36811,36742,36821
1,19,,37409,37340,37419
1,19,,38309,38240,38319
1,19,,38911,38842,38921
1,19,,39809,39740,39819
1,19,,40111,40042,40121
1,19,,41311,41242,41321
1,19,,42211,42142,42221
1,19,,43409,43340,43419
1,19,,44309,44240,44319
1,19,,44611,44542,44621
1,19,,45511,45442,45521
1,19,,45809,45740,45819
1,19,,46589,46520,46599
1,19,,48809,48740,48819
1,19,,49709,49640,49719
1,19,,50311,50242,50321
1,19,,52711,52642,52721
1,19,,53611,53542,53621
1,19,,54509,54440,54519
1,19,,56611,56542,56621
1,19,,56909,56840,56919
1,19,,57809,57740,57819
1,19,,58411,58342,58421
1,19,,60809,60740,60819
1,19,,61111,61042,61121
1,19,,61831,61762,61841
1,19,,62009,61940,62019
1,19,,62551,62482,62561
1,19,,62909,62840,62919
1,19,,63271,63202,63281
1,19,,63991,63922,64001
1,19,,64069,64000,64079
1,19,,64711,64642,64721
1,19,,64789,64720,64799
1,19,,65431,65362,65441
1,19,,65509,65440,65519
1,19,,66151,66082,66161
1,19,,66229,66160,66239
1,19,,66871,66802,66881
1,19,,66949,66880,66959
1,19,,67669,67600,67679
1,19,,67891,67822,67901
1,19,,68389,68320,68399
1,19,,68791,68722,68801
1,19,,69109,69040,69119
1,19,,69811,69742,69821
1,19,,69829,69760,69839
1,19,,70549,70480,70559
1,19,,70651,70582,70661
1,19,,71149,71080,71159
1,19,,71311,71242,71321
1,19,,71569,71500,71579
1,19,,72349,72280,72359
1,19,,72511,72442,72521
1,19,,73109,73040,73119
1,19,,73171,73102,73181
1,19,,74009,73940,74019
1,19,,74311,74242,74321
1,19,,74909,74840,74919
1,19,,75211,75142,75221
1,19,,75809,75740,75819
1,19,,76111,76042,76121
1,19,,76709,76640,76719
1,19,,77201,77132,77211
1,19,,77609,77540,77619
1,19,,78211,78142,78221
1,19,,78509,78440,78519
1,19,,79409,79340,79419
1,19,,79411,79342,79421
1,19,,80081,80012,80091
1,19,,80309,80240,80319
1,19,,82709,82640,82719
1,19,,84209,84140,84219
1,18,,21896,21775,21906
1,18,,21914,21839,21924
1,18,,22736,22679,22746
1,18,,23396,23335,23406
1,18,,23474,23339,23484
1,18,,23596,23539,23606
1,18,,24416,24359,24426
1,18,,25256,25199,25266
1,18,,25676,25619,25686
1,18,,26264,26125,26274
1,18,,26276,26219,26286
1,18,,26936,26845,26946
1,18,,26984,26879,26994
1,18,,27356,27299,27366
1,18,,27776,27719,27786
1,18,,27944,27805,27954
1,18,,28316,28259,28326
1,18,,28844,28705,28854
1,18,,28976,28919,28986
1,18,,29636,29579,29646
1,18,,29804,29665,29814
1,18,,30436,30379,30446
1,18,,30524,30385,30534
1,18,,31156,31099,31166
1,18,,31904,31765,31914
1,18,,32056,31999,32066
1,18,,32564,32425,32574
1,18,,33076,33019,33086
1,18,,33224,33085,33234
1,18,,33856,33745,33866
1,18,,33884,33799,33894
1,18,,34544,34405,34554
1,18,,35264,35125,35274
1,18,,35356,35299,35366
1,18,,36164,36025,36174
1,18,,36256,36199,36266
1,18,,36856,36799,36866
1,18,,37364,37225,37374
1,18,,38264,38125,38274
1,18,,38956,38899,38966
1,18,,39764,39625,39774
1,18,,40156,40099,40166
1,18,,41356,41299,41366
1,18,,42256,42199,42266
1,18,,43364,43225,43374
1,18,,44264,44125,44274
1,18,,44656,44599,44666
1,18,,45556,45499,45566
1,18,,45764,45625,45774
1,18,,46544,46405,46554
1,18,,48764,48625,48774
1,18,,49664,49525,49674
1,18,,50356,50299,50366
1,18,,52756,52699,52766
1,18,,53656,53599,53666
1,18,,54464,54325,54474
1,18,,56656,56599,56666
1,18,,56864,56725,56874
1,18,,57764,57625,57774
1,18,,58456,58399,58466
1,18,,60764,60625,60774
1,18,,61156,61099,61166
1,18,,61876,61819,61886
1,18,,61964,61825,61974
1,18,,62596,62539,62606
1,18,,62864,62725,62874
1,18,,63316,63259,63326
1,18,,64024,63885,64034
1,18,,64036,63979,64046
1,18,,64744,64605,64754
1,18,,64756,64699,64766
1,18,,65464,65325,65474
1,18,,65476,65419,65486
1,18,,66184,66045,66194
1,18,,66196,66139,66206
1,18,,66904,66765,66914
1,18,,66916,66859,66926
1,18,,67624,67485,67634
1,18,,67936,67879,67946
1,18,,68344,68205,68354
1,18,,68836,68779,68846
1,18,,69064,68925,69074
1,18,,69784,69645,69794
1,18,,69856,69799,69866
1,18,,70504,70365,70514
1,18,,70696,70639,70706
1,18,,71104,70965,71114
1,18,,71356,71299,71366
1,18,,71524,71385,71534
1,18,,72304,72165,72314
1,18,,72556,72499,72566
1,18,,73064,72925,73074
1,18,,73216,73159,73226
1,18,,73964,73825,73974
1,18,,74356,74299,74366
1,18,,74864,74725,74874
1,18,,75256,75199,75266
1,18,,75764,75625,75774
1,18,,76156,76099,76166
1,18,,76664,76525,76674
1,18,,77246,77189,77256
1,18,,77564,77425,77574
1,18,,78256,78199,78266
1,18,,78464,78325,78474
1,18,,79364,79225,79374
1,18,,79456,79399,79466
1,18,,80126,80069,80136
1,18,,80264,80125,80274
1,18,,82664,82525,82674
1,18,,84164,84025,84174
1,17,,21884,21808,21894
1,17,,21946,21827,21956
1,17,,22786,22648,22796
1,17,,23444,23308,23454
1,17,,23446,23387,23456
1,17,,23826,23688,23836
1,17,,24466,24328,24476
1,17,,25306,25168,25316
1,17,,25726,25588,25736
1,17,,26224,26167,26234
1,17,,26326,26188,26336
1,17,,26944,26848,26954
1,17,,26986,26887,26996
1,17,,27406,27268,27416
1,17,,27826,27688,27836
1,17,,27904,27847,27914
1,17,,28366,28228,28376
1,17,,28804,28747,28814
1,17,,29026,28888,29036
1,17,,29686,29548,29696
1,17,,29764,29707,29774
1,17,,30476,30338,30486
1,17,,30484,30427,30494
1,17,,31196,31058,31206
1,17,,31864,31807,31874
1,17,,32096,31958,32106
1,17,,32524,32467,32534
1,17,,33116,32978,33126
1,17,,33184,33127,33194
1,17,,33844,33758,33854
1,17,,33896,33787,33906
1,17,,34504,34447,34514
1,17,,35224,35167,35234
1,17,,35396,35258,35406
1,17,,36124,36067,36134
1,17,,36296,36158,36306
1,17,,36896,36758,36906
1,17,,37324,37267,37334
1,17,,38224,38167,38234
1,17,,38996,38858,39006
1,17,,39724,39667,39734
1,17,,40196,40058,40206
1,17,,41396,41258,41406
1,17,,42296,42158,42306
1,17,,43324,43267,43334
1,17,,44224,44167,44234
1,17,,44696,44558,44706
1,17,,45596,45458,45606
1,17,,45724,45667,45734
1,17,,46504,46447,46514
1,17,,48724,48667,48734
1,17,,49624,49567,49634
1,17,,50396,50258,50406
1,17,,52796,52658,52806
1,17,,53696,53558,53706
1,17,,54424,54367,54434
1,17,,56696,56558,56706
1,17,,56824,56767,56834
1,17,,57724,57667,57734
1,17,,58496,58358,58506
1,17,,60724,60667,60734
1,17,,61196,61058,61206
