version_prog_id,cruce_id,plan_id,fase_id,duracion_s,entreverde_s,cum_inicio_s,cum_fin_s,es_verde_lateral,ciclo_s,fase_origen,fuente
2,12,6,2,35,4,92,127,1,130,B,Red Ruta160.xlsx
1,17,1,1,61,4,0,65,0,100,A,eje Montt y Los Laboreos.xlsx
1,17,1,2,31,4,69,100,1,100,B,eje Montt y Los Laboreos.xlsx
1,17,2,1,56,4,0,60,0,90,A,eje Montt y Los Laboreos.xlsx
1,17,2,2,26,4,64,90,1,90,B,eje Montt y Los Laboreos.xlsx
1,17,3,1,51,4,0,55,0,80,A,eje Montt y Los Laboreos.xlsx
1,17,3,2,21,4,59,80,1,80,B,eje Montt y Los Laboreos.xlsx
1,17,4,1,52,4,0,56,0,86,A,eje Montt y Los Laboreos.xlsx
1,17,4,2,26,4,60,86,1,86,B,eje Montt y Los Laboreos.xlsx
1,17,5,1,49,4,0,53,0,78,A,eje Montt y Los Laboreos.xlsx
1,17,5,2,21,4,57,78,1,78,B,eje Montt y Los Laboreos.xlsx
1,17,6,1,55,4,0,59,0,84,A,eje Montt y Los Laboreos.xlsx
1,17,6,2,21,4,63,84,1,84,B,eje Montt y Los Laboreos.xlsx
1,17,7,1,57,4,0,61,0,86,A,eje Montt y Los Laboreos.xlsx
1,17,7,2,21,4,65,86,1,86,B,eje Montt y Los Laboreos.xlsx
1,18,1,1,58,4,0,62,0,100,A,eje Montt y Los Laboreos.xlsx
1,18,1,2,34,4,66,100,1,100,B,eje Montt y Los Laboreos.xlsx
1,18,2,1,56,4,0,60,0,90,A,eje Montt y Los Laboreos.xlsx
1,18,2,2,26,4,64,90,1,90,B,eje Montt y Los Laboreos.xlsx
1,18,3,1,50,4,0,54,0,80,A,eje Montt y Los Laboreos.xlsx
1,18,3,2,22,4,58,80,1,80,B,eje Montt y Los Laboreos.xlsx
1,18,4,1,50,4,0,54,0,86,A,eje Montt y Los Laboreos.xlsx
1,18,4,2,28,4,58,86,1,86,B,eje Montt y Los Laboreos.xlsx
1,18,5,1,48,4,0,52,0,78,A,eje Montt y Los Laboreos.xlsx
